date,growth
2011-07-01,-0.0958
2011-08-01,0.5139
2011-09-01,0.0468
2011-10-01,0.5023
2011-11-01,0.2505
2011-12-01,0.1123
2012-01-01,0.4413
2012-02-01,-0.1316
2012-03-01,0.2298
2012-04-01,0.015
2012-05-01,0.0711
2012-06-01,-0.3254
2012-07-01,0.801
2012-08-01,0.6835
2012-09-01,0.8427
2012-10-01,0.4396
2012-11-01,-0.281
2012-12-01,-0.5136
2013-01-01,-0.9646
2013-02-01,-0.4763
2013-03-01,-0.5689
2013-04-01,-0.9687
2013-05-01,-1.4937
2013-06-01,-0.5821
2013-07-01,0.2611
2013-08-01,-0.1023
2013-09-01,-0.1576
2013-10-01,-0.3741
2013-11-01,-0.7614
2013-12-01,0.5022
2014-01-01,-0.2378
2014-02-01,0.5117
2014-03-01,1.1604
2014-04-01,1.3406
2014-05-01,0.4713
2014-06-01,-0.0933
2014-07-01,-2.2833
2014-08-01,-1.3682
2014-09-01,-0.0141
2014-10-01,-0.8375
2014-11-01,-0.5354
2014-12-01,-2.3418
2015-01-01,-1.6267
2015-02-01,-0.8006
2015-03-01,-0.1802
2015-04-01,-0.0584
2015-05-01,0.7726
2015-06-01,-0.0553
2015-07-01,-0.5243
2015-08-01,0.0515
2015-09-01,0.7146
2015-10-01,-0.0285
2015-11-01,-1.4128
2015-12-01,-0.6831
2016-01-01,0.2336
2016-02-01,0.2677
2016-03-01,-0.3478
2016-04-01,-1.7608
2016-05-01,-2.4148
2016-06-01,-1.546
2016-07-01,-0.8071
2016-08-01,-0.8357
2016-09-01,-1.5286
2016-10-01,0.3438
2016-11-01,-0.3404
2016-12-01,-2.2769
2017-01-01,-0.618
2017-02-01,-0.9331
2017-03-01,0.6028
2017-04-01,-0.0403
2017-05-01,0.9114
2017-06-01,1.1343
2017-07-01,-0.4142
2017-08-01,-0.8342
2017-09-01,-0.69
2017-10-01,-0.373
2017-11-01,-1.8207
2017-12-01,-2.9099
2018-01-01,-3.4797
2018-02-01,-2.6963
2018-03-01,-1.7888
2018-04-01,-0.4956
2018-05-01,-1.4091
2018-06-01,-1.2161
2018-07-01,-0.7297
2018-08-01,-1.0826
2018-09-01,-1.0377
2018-10-01,-0.4439
2018-11-01,-0.5233
2018-12-01,-0.1752
2019-01-01,0.3053
2019-02-01,0.3506
2019-03-01,-0.1135
2019-04-01,-0.4028
2019-05-01,0.4887
2019-06-01,0.3357
2019-07-01,0.8987
2019-08-01,0.4042
2019-09-01,0.515
2019-10-01,0.7769
2019-11-01,-0.2054
2019-12-01,0.1698
2020-01-01,0.3813
2020-02-01,0.7813
2020-03-01,0.0972
2020-04-01,0.3816
2020-05-01,-0.1452
2020-06-01,-0.2833
2020-07-01,-1.5191
2020-08-01,-0.8084
2020-09-01,-0.3358
2020-10-01,-0.8443
2020-11-01,-0.1484
2020-12-01,-1.8436
2021-01-01,-1.2832
2021-02-01,-2.0888
2021-03-01,0.2154
2021-04-01,0.4702
2021-05-01,0.0916
2021-06-01,0.1259
2021-07-01,0.0711
2021-08-01,0.7084
2021-09-01,-0.2066
2021-10-01,0.5084
2021-11-01,-0.648
2021-12-01,-0.8911
2022-01-01,0.3742
2022-02-01,0.7769
2022-03-01,0.808
2022-04-01,0.546
2022-05-01,0.2337
2022-06-01,0.2857
2022-07-01,0.5444
2022-08-01,0.2041
2022-09-01,0.2212
2022-10-01,0.3334
2022-11-01,1.1624
2022-12-01,-0.3783
2023-01-01,1.0142
2023-02-01,0.5292
2023-03-01,0.3802
2023-04-01,0.4688
2023-05-01,0.4821
2023-06-01,0.4988
2023-07-01,-0.8975
2023-08-01,-0.9315
2023-09-01,-0.606
2023-10-01,-1.2759
2023-11-01,-0.6282
2023-12-01,-0.1345
2024-01-01,-0.7982
2024-02-01,-0.8654
2024-03-01,-0.2121
2024-04-01,-1.0498
2024-05-01,-1.1918
2024-06-01,-1.1674
2024-07-01,-1.1137
2024-08-01,-0.7361
2024-09-01,-1.1234
2024-10-01,-1.0311
2024-11-01,-0.8569
2024-12-01,0.6158
